Year,bom_raw_share,bom_va_share,dc_raw_share,dc_va_share,pgp_raw_share,pgp_va_share,nt_raw_share,nt_va_share,ot_raw_share,ot_va_share
2014,0.31160896130346233,0.18329049235883602,0.22708757637474541,0.24141369094386578,0.06619144602851323,0.4049162510933764,0.32484725050916496,0.15858675071341105,0.07026476578411406,0.011792814890510518
2015,0.32864321608040203,0.2259211889475012,0.20301507537688443,0.2522313726195734,0.04522613065326633,0.32333674748449726,0.3085427135678392,0.17603754133569416,0.11457286432160804,0.022473149612733983
2016,0.41626794258373206,0.28119340982795316,0.21435406698564594,0.2616992157137521,0.042105263157894736,0.29580253870637097,0.2669856459330144,0.14968483088051177,0.06028708133971292,0.011620004871411823
2017,0.33903133903133903,0.2293145359930155,0.24406457739791074,0.29835616338056575,0.04178537511870845,0.2939337021579941,0.28774928774928776,0.1615339094328289,0.08736942070275404,0.01686168903559577
2018,0.3654033041788144,0.23625481686624455,0.23129251700680273,0.270276511982754,0.04859086491739553,0.32673538502778504,0.28765792031098153,0.15436265670434204,0.06705539358600583,0.012370629418874403
2019,0.3989769820971867,0.2525090766710356,0.22250639386189258,0.2545131169620755,0.05370843989769821,0.35351270733944984,0.23444160272804773,0.12314634916475943,0.09036658141517477,0.016318749862679633
2020,0.4125,0.23442313836738793,0.18984375,0.1949895551388836,0.0765625,0.45250769436371546,0.21328125,0.10059743488139296,0.1078125,0.017482177248620005
2021,0.3504132231404959,0.22881673869823807,0.22231404958677686,0.2623691306862544,0.049586776859504134,0.3367491626125013,0.2859504132231405,0.15497289287753482,0.09173553719008265,0.01709207512547142
2022,0.3582887700534759,0.23848935551617353,0.20932009167303284,0.2518171136162338,0.04660045836516425,0.322596262557485,0.3139801375095493,0.1734585396167623,0.0718105423987777,0.013638728693345434
2023,0.3559822747415066,0.25266291929749446,0.20236336779911374,0.25958736848218344,0.03766617429837518,0.27803405061284453,0.3308714918759232,0.19490823647286032,0.07311669128508123,0.014807425134617204
2024,0.3965397923875433,0.259196453197659,0.20899653979238755,0.2468993218023216,0.04982698961937716,0.33871955349809246,0.255363321799308,0.1385346797681733,0.08927335640138408,0.01664999173375354
2025,0.35863509749303624,0.24660847931105673,0.19080779944289694,0.23713183418062392,0.04456824512534819,0.31872350258143567,0.3147632311977716,0.17963746487158253,0.09122562674094707,0.01789871905530131
