Speaker,n_talks,bom_tilt_pp,dc_tilt_pp,pgp_tilt_pp,nt_tilt_pp,ot_tilt_pp,bom_raw_share,dc_raw_share,pgp_raw_share,nt_raw_share,ot_raw_share,bom_va_share,dc_va_share,pgp_va_share,nt_va_share,ot_va_share
Delbert L. Stapley,12,-1.7430144203917948,10.741573225780735,10.697179710119316,-15.817396391016503,-3.878342124491764,0.15584415584415584,0.1774891774891775,0.012987012987012988,0.6017316017316018,0.05194805194805195,0.1384140116402379,0.28490490974698485,0.11995881008820616,0.44355763782143676,0.013164630703134313
Dieter F. Uchtdorf,83,-7.427152368827638,5.846235146947546,26.07977722992054,-16.17596899912232,-8.322891008918143,0.2504488330341113,0.21543985637342908,0.04129263913824058,0.388689407540395,0.10412926391382406,0.17617730934583492,0.27390220784290453,0.30209041143744597,0.2269297175491718,0.020900353824642632
Elaine L. Jack,12,-11.286519105712728,8.081902894360143,19.218022271736977,-7.947059539239676,-8.0663465211447,0.3838383838383838,0.29292929292929293,0.030303030303030304,0.1919191919191919,0.10101010101010101,0.27097319278125653,0.37374832187289436,0.2224832530204001,0.11244859652679515,0.020346635798654006
Elaine S. Dalton,16,-15.986695054178584,-0.6102531649550824,34.33243190343943,-6.495383489692704,-11.240100194613069,0.3497536945812808,0.3251231527093596,0.07389162561576355,0.11822660098522167,0.1330049261083744,0.18988674403949496,0.3190206210598088,0.4172159446501579,0.053272766088294635,0.020603924162243704
Eldred G. Smith,10,-3.334016012912492,-5.71988615854748,53.14166855671789,-34.8926314626283,-9.195134922629617,0.05102040816326531,0.15306122448979592,0.20408163265306123,0.4897959183673469,0.10204081632653061,0.017680248034140388,0.09586236290432112,0.7354983182202401,0.14086960374106394,0.010089467100234445
Ezra Taft Benson,63,-15.429873402133222,4.824548573807191,21.8395304910341,-6.59874939304914,-4.635456269658927,0.4167507568113017,0.3491422805247225,0.039354187689202826,0.13824419778002017,0.056508577194752774,0.2624520227899695,0.39738776626279443,0.25774949259954383,0.07225670384952877,0.010154014498163506
Franklin D. Richards,17,-1.3861603657034884,-0.11404491068104372,29.31219429027466,-23.46893903809487,-4.343049975795256,0.030927835051546393,0.422680412371134,0.061855670103092786,0.4329896907216495,0.05154639175257732,0.017066231394511508,0.4215399632643236,0.3549776130058394,0.19830030034070079,0.008115891994624758
Gary E. Stevenson,24,-13.040159252243752,1.3490812716507512,33.968468128327075,-19.18463733617776,-3.09275281155632,0.3181818181818182,0.2024793388429752,0.06611570247933884,0.3760330578512397,0.0371900826446281,0.18778022565938066,0.2159701515594827,0.40580038376260963,0.18418668448946207,0.006262554529064901
Gerrit W. Gong,18,-7.891055561896287,9.803471746225878,16.730824571565446,-9.281632744998175,-9.361608010896845,0.35154826958105645,0.24408014571949,0.023679417122040074,0.2604735883424408,0.12021857923497267,0.2726377139620936,0.3421148631817488,0.19098766283769456,0.16765726089245903,0.026602499126004223
Gordon B. Hinckley,232,-3.5633545372827884,6.600813805848671,28.507827906942634,-16.583139926671205,-14.962147248837315,0.1162109375,0.2607421875,0.0458984375,0.390625,0.1865234375,0.08057739212717212,0.3267503255584867,0.33097671656942634,0.22479360073328794,0.03690196501162686
H. Burke Peterson,21,-7.072275861738181,11.27191665350642,11.483706874476791,-11.922583214189213,-3.7607644520557955,0.3225806451612903,0.27419354838709675,0.016129032258064516,0.3387096774193548,0.04838709677419355,0.2518578865439085,0.38691271492216095,0.13096610100283243,0.21948384527746267,0.010779452253635592
H. David Burton,14,-4.156915816267589,7.67168998735012,19.64114880684768,-17.93171598446622,-5.224206993463984,0.20270270270270271,0.17567567567567569,0.02702702702702703,0.527027027027027,0.06756756756756757,0.16113354454002682,0.2523925755491769,0.22343851509550386,0.3477098671823648,0.015325497632927733
Harold B. Lee,16,-6.407869548360223,-11.597969512745475,42.77552764018658,-17.42729491110256,-7.342393667978319,0.10650887573964497,0.41420118343195267,0.13609467455621302,0.2603550295857988,0.08284023668639054,0.042430180256042734,0.2982214883044979,0.5638499509580789,0.08608208047477324,0.009416300006607347
Hartman Rector Jr.,16,-7.1243729399065145,10.836932382984592,15.834272290873097,-9.601520140753319,-9.945311593197854,0.30454545454545456,0.2818181818181818,0.022727272727272728,0.2636363636363636,0.12727272727272726,0.23330172514638942,0.39018750564802773,0.1810699956360037,0.16762116222883042,0.02781961134074873
Henry B. Eyring,122,-13.646000655745016,2.9442486667337118,26.676434804048167,-11.11210401113636,-4.862578803900488,0.3442622950819672,0.3237704918032787,0.050546448087431695,0.2226775956284153,0.05874316939890711,0.20780228852451704,0.35321297847061583,0.31731079612791335,0.1115565555170517,0.01011738135990223
Henry D. Taylor,11,-1.0123026186961566,1.297176359923785,35.559015439537056,-19.920422401001357,-15.923466779763318,0.023809523809523808,0.3333333333333333,0.07142857142857142,0.38095238095238093,0.19047619047619047,0.013686497622562244,0.34630509693257117,0.427018725823942,0.18174815694236737,0.03124152267855729
Howard W. Hunter,51,-2.679788064514446,6.737889176814566,27.31708632053339,-16.222164740766367,-15.15302269206713,0.13317757009345793,0.15186915887850466,0.037383177570093455,0.48130841121495327,0.19626168224299065,0.10637968944831347,0.21924805064665032,0.31055404077542736,0.3190867638072896,0.044731455322319334
J. Richard Clarke,13,-9.053630336975694,4.46405700172825,27.58820198551031,-12.883918608530148,-10.11471004173271,0.24691358024691357,0.30864197530864196,0.04938271604938271,0.2716049382716049,0.12345679012345678,0.15637727687715663,0.35328254532592446,0.3252647359044858,0.14276575218630344,0.022309689706129673
J. Thomas Fyans,14,-15.132940812278644,-9.897343320729368,38.965415290609265,-7.307719910544044,-6.627411247057202,0.2641509433962264,0.4339622641509434,0.11320754716981132,0.11320754716981132,0.07547169811320754,0.11282153527343998,0.33498883094364973,0.5028617000759039,0.04013034806437087,0.00919758564263553
James A. Cullimore,10,-5.330265949791818,13.355401542486744,8.355630992759727,-12.310228900672302,-4.07053768478236,0.19230769230769232,0.4358974358974359,0.01282051282051282,0.3076923076923077,0.05128205128205128,0.13900503280977414,0.5694514513223033,0.09637682274811007,0.1845900186855847,0.010576674434227678
James E. Faust,108,-6.362908539105133,5.118166671017798,28.92312067747521,-15.766482469115036,-11.911896340272838,0.1860678276810266,0.27039413382218147,0.04949587534372136,0.3473877176901925,0.1466544454628781,0.12243874228997526,0.32157580053235946,0.33872708211847347,0.18972289299904213,0.0275354820601497
Jeffrey R. Holland,64,-6.606937227499044,4.839669037397446,27.83224823995893,-15.27494064204103,-10.790039407816309,0.2779587404994571,0.1281216069489685,0.04017372421281216,0.4158523344191097,0.13789359391965256,0.2118893682244667,0.17651829732294297,0.31849620661240147,0.2631029279986994,0.029993199841489453
John H. Groberg,10,-10.93864069387583,4.7939168213425445,28.50703982523415,-11.446410375363447,-10.91590557733741,0.36363636363636365,0.18181818181818182,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.25424995669760536,0.22975735003160727,0.33052494370688695,0.15826316897363824,0.027204580590262244
John H. Vandenberg,10,-8.913244280205687,-3.1855751016482143,55.88249609254446,-26.862248510293025,-16.92142820039753,0.13541666666666666,0.08333333333333333,0.21875,0.375,0.1875,0.04628422386460979,0.051477582316851185,0.7775749609254445,0.10637751489706976,0.01828571799602471
