Year,Month,Conference,nt_share,bom_share,christ_index
2004,10,2004-10,0.2809278350515464,0.28865979381443296,0.5695876288659794
2005,4,2005-04,0.19948186528497408,0.38341968911917096,0.582901554404145
2005,10,2005-10,0.2962962962962963,0.2934472934472934,0.5897435897435896
2006,4,2006-04,0.171021377672209,0.4821852731591449,0.6532066508313539
2006,10,2006-10,0.3019538188277087,0.38010657193605685,0.6820603907637656
2007,4,2007-04,0.23990498812351543,0.29691211401425177,0.5368171021377672
2007,10,2007-10,0.27800829875518673,0.33195020746887965,0.6099585062240664
2008,4,2008-04,0.2703862660944206,0.33261802575107297,0.6030042918454936
2008,10,2008-10,0.25504587155963304,0.29174311926605506,0.5467889908256881
2009,4,2009-04,0.293598233995585,0.2980132450331126,0.5916114790286976
2009,10,2009-10,0.21244635193133046,0.40772532188841204,0.6201716738197425
2010,4,2010-04,0.2920353982300885,0.27654867256637167,0.5685840707964602
2010,10,2010-10,0.2685589519650655,0.3537117903930131,0.6222707423580787
2011,4,2011-04,0.22279792746113988,0.32642487046632124,0.5492227979274611
2011,10,2011-10,0.2972972972972973,0.3261261261261261,0.6234234234234235
2012,4,2012-04,0.328537170263789,0.3117505995203837,0.6402877697841727
2012,10,2012-10,0.3008130081300813,0.35365853658536583,0.6544715447154472
2013,4,2013-04,0.3508500772797527,0.21638330757341576,0.5672333848531684
2013,10,2013-10,0.2714285714285714,0.3183673469387755,0.5897959183673469
2014,4,2014-04,0.32,0.2975,0.6174999999999999
2014,10,2014-10,0.3281786941580756,0.32130584192439865,0.6494845360824743
2015,4,2015-04,0.28542914171656686,0.3333333333333333,0.6187624750499001
2015,10,2015-10,0.3319838056680162,0.32388663967611336,0.6558704453441295
2016,4,2016-04,0.2755344418052256,0.31353919239904987,0.5890736342042755
2016,10,2016-10,0.26121794871794873,0.4855769230769231,0.7467948717948718
2017,4,2017-04,0.3090909090909091,0.31272727272727274,0.6218181818181818
2017,10,2017-10,0.2644135188866799,0.36779324055666,0.6322067594433399
2018,4,2018-04,0.2815734989648033,0.37681159420289856,0.6583850931677019
2018,10,2018-10,0.29304029304029305,0.3553113553113553,0.6483516483516484
2019,4,2019-04,0.23645320197044334,0.4039408866995074,0.6403940886699507
2019,10,2019-10,0.2322695035460993,0.39361702127659576,0.625886524822695
2020,4,2020-04,0.17414965986394557,0.47210884353741495,0.6462585034013605
2020,10,2020-10,0.26605504587155965,0.3321100917431193,0.5981651376146789
2021,4,2021-04,0.2724252491694352,0.32558139534883723,0.5980066445182725
2021,10,2021-10,0.2993421052631579,0.375,0.674342105263158
2022,4,2022-04,0.29954614220877457,0.3373676248108926,0.6369137670196672
2022,10,2022-10,0.3287037037037037,0.37962962962962965,0.7083333333333334
2023,4,2023-04,0.347949080622348,0.4087694483734088,0.7567185289957568
2023,10,2023-10,0.312210200927357,0.2982998454404946,0.6105100463678517
2024,4,2024-04,0.24756606397774686,0.40055632823365783,0.6481223922114047
2024,10,2024-10,0.2630853994490358,0.3925619834710744,0.6556473829201102
2025,4,2025-04,0.32653061224489793,0.3238095238095238,0.6503401360544218
2025,10,2025-10,0.3024251069900143,0.39514978601997147,0.6975748930099858
