Year,Month,Conference,curriculum,bom_share,dc_share,nt_share,ot_share,curriculum_book_share
1996,4,1996-04,bom,0.24079320113314448,0.28895184135977336,0.28895184135977336,0.14447592067988668,0.24079320113314448
1996,10,1996-10,bom,0.27954545454545454,0.2636363636363636,0.2909090909090909,0.07272727272727272,0.27954545454545454
1997,4,1997-04,dc,0.3253968253968254,0.19576719576719576,0.38095238095238093,0.04497354497354497,0.19576719576719576
1997,10,1997-10,dc,0.21951219512195122,0.2804878048780488,0.3597560975609756,0.0975609756097561,0.2804878048780488
1998,4,1998-04,ot,0.23920265780730898,0.2026578073089701,0.3488372093023256,0.14285714285714285,0.14285714285714285
1998,10,1998-10,ot,0.2776203966005666,0.3087818696883853,0.26628895184135976,0.10764872521246459,0.10764872521246459
1999,4,1999-04,nt,0.2953846153846154,0.23384615384615384,0.3415384615384615,0.09538461538461539,0.3415384615384615
1999,10,1999-10,nt,0.41044776119402987,0.1791044776119403,0.2562189054726368,0.11940298507462686,0.2562189054726368
2000,4,2000-04,bom,0.32432432432432434,0.21205821205821207,0.28274428274428276,0.079002079002079,0.32432432432432434
2000,10,2000-10,bom,0.345679012345679,0.2366255144032922,0.29835390946502055,0.09259259259259259,0.345679012345679
2001,4,2001-04,dc,0.36043956043956044,0.25054945054945055,0.24395604395604395,0.1054945054945055,0.25054945054945055
2001,10,2001-10,dc,0.3665987780040733,0.1710794297352342,0.2708757637474542,0.13034623217922606,0.1710794297352342
2002,4,2002-04,ot,0.29018789144050106,0.25052192066805845,0.29436325678496866,0.11899791231732777,0.11899791231732777
2002,10,2002-10,ot,0.2873303167420814,0.23529411764705882,0.2647058823529412,0.1515837104072398,0.1515837104072398
2003,4,2003-04,nt,0.2896174863387978,0.26229508196721313,0.27595628415300544,0.13387978142076504,0.27595628415300544
2003,10,2003-10,nt,0.2484472049689441,0.2505175983436853,0.3146997929606625,0.08488612836438923,0.3146997929606625
2004,4,2004-04,bom,0.2973568281938326,0.2577092511013216,0.2665198237885463,0.12334801762114538,0.2973568281938326
2004,10,2004-10,bom,0.28865979381443296,0.3324742268041237,0.2809278350515464,0.061855670103092786,0.28865979381443296
2005,4,2005-04,dc,0.38341968911917096,0.25129533678756477,0.19948186528497408,0.06735751295336788,0.25129533678756477
2005,10,2005-10,dc,0.2934472934472934,0.23646723646723647,0.2962962962962963,0.09971509971509972,0.23646723646723647
2006,4,2006-04,ot,0.4821852731591449,0.20902612826603326,0.171021377672209,0.05938242280285035,0.05938242280285035
2006,10,2006-10,ot,0.38010657193605685,0.1847246891651865,0.3019538188277087,0.09591474245115453,0.09591474245115453
2007,4,2007-04,nt,0.29691211401425177,0.3515439429928741,0.23990498812351543,0.0688836104513064,0.23990498812351543
2007,10,2007-10,nt,0.33195020746887965,0.22406639004149378,0.27800829875518673,0.12033195020746888,0.27800829875518673
2008,4,2008-04,bom,0.33261802575107297,0.24248927038626608,0.2703862660944206,0.08798283261802575,0.33261802575107297
2008,10,2008-10,bom,0.29174311926605506,0.29357798165137616,0.25504587155963304,0.07155963302752294,0.29174311926605506
2009,4,2009-04,dc,0.2980132450331126,0.2693156732891832,0.293598233995585,0.10154525386313466,0.2693156732891832
2009,10,2009-10,dc,0.40772532188841204,0.24034334763948498,0.21244635193133046,0.07725321888412018,0.24034334763948498
2010,4,2010-04,ot,0.27654867256637167,0.2588495575221239,0.2920353982300885,0.13274336283185842,0.13274336283185842
2010,10,2010-10,ot,0.3537117903930131,0.2292576419213974,0.2685589519650655,0.08951965065502183,0.08951965065502183
2011,4,2011-04,nt,0.32642487046632124,0.31088082901554404,0.22279792746113988,0.08290155440414508,0.22279792746113988
2011,10,2011-10,nt,0.3261261261261261,0.20540540540540542,0.2972972972972973,0.13153153153153152,0.2972972972972973
2012,4,2012-04,bom,0.3117505995203837,0.2422062350119904,0.328537170263789,0.08393285371702638,0.3117505995203837
2012,10,2012-10,bom,0.35365853658536583,0.2540650406504065,0.3008130081300813,0.06504065040650407,0.35365853658536583
2013,4,2013-04,dc,0.21638330757341576,0.3230293663060278,0.3508500772797527,0.07418856259659969,0.3230293663060278
2013,10,2013-10,dc,0.3183673469387755,0.23061224489795917,0.2714285714285714,0.10612244897959183,0.23061224489795917
2014,4,2014-04,ot,0.2975,0.2525,0.32,0.0675,0.0675
2014,10,2014-10,ot,0.32130584192439865,0.20962199312714777,0.3281786941580756,0.07216494845360824,0.07216494845360824
2015,4,2015-04,nt,0.3333333333333333,0.20159680638722555,0.28542914171656686,0.11976047904191617,0.28542914171656686
2015,10,2015-10,nt,0.32388663967611336,0.20445344129554655,0.3319838056680162,0.10931174089068826,0.3319838056680162
2016,4,2016-04,bom,0.31353919239904987,0.26365795724465557,0.2755344418052256,0.09263657957244656,0.31353919239904987
2016,10,2016-10,bom,0.4855769230769231,0.18108974358974358,0.26121794871794873,0.038461538461538464,0.4855769230769231
2017,4,2017-04,dc,0.31272727272727274,0.24181818181818182,0.3090909090909091,0.0890909090909091,0.24181818181818182
2017,10,2017-10,dc,0.36779324055666,0.24652087475149106,0.2644135188866799,0.08548707753479125,0.24652087475149106
2018,4,2018-04,ot,0.37681159420289856,0.2422360248447205,0.2815734989648033,0.057971014492753624,0.057971014492753624
2018,10,2018-10,ot,0.3553113553113553,0.2216117216117216,0.29304029304029305,0.07509157509157509,0.07509157509157509
2019,4,2019-04,nt,0.4039408866995074,0.21839080459770116,0.23645320197044334,0.09688013136288999,0.23645320197044334
2019,10,2019-10,nt,0.39361702127659576,0.22695035460992907,0.2322695035460993,0.08333333333333333,0.2322695035460993
2020,4,2020-04,bom,0.47210884353741495,0.17006802721088435,0.17414965986394557,0.09251700680272108,0.47210884353741495
2020,10,2020-10,bom,0.3321100917431193,0.21651376146788992,0.26605504587155965,0.12844036697247707,0.3321100917431193
2021,4,2021-04,dc,0.32558139534883723,0.2574750830564784,0.2724252491694352,0.09302325581395349,0.2574750830564784
2021,10,2021-10,dc,0.375,0.1875,0.2993421052631579,0.09046052631578948,0.1875
2022,4,2022-04,ot,0.3373676248108926,0.23600605143721634,0.29954614220877457,0.07866868381240545,0.07866868381240545
2022,10,2022-10,ot,0.37962962962962965,0.18209876543209877,0.3287037037037037,0.06481481481481481,0.06481481481481481
2023,4,2023-04,nt,0.4087694483734088,0.15841584158415842,0.347949080622348,0.04809052333804809,0.347949080622348
2023,10,2023-10,nt,0.2982998454404946,0.250386398763524,0.312210200927357,0.10046367851622875,0.312210200927357
2024,4,2024-04,bom,0.40055632823365783,0.23087621696801114,0.24756606397774686,0.08762169680111266,0.40055632823365783
2024,10,2024-10,bom,0.3925619834710744,0.18732782369146006,0.2630853994490358,0.09090909090909091,0.3925619834710744
2025,4,2025-04,dc,0.3238095238095238,0.20952380952380953,0.32653061224489793,0.09251700680272108,0.20952380952380953
2025,10,2025-10,dc,0.39514978601997147,0.17118402282453637,0.3024251069900143,0.0898716119828816,0.17118402282453637
